event_id,log_template,processed_template,summary,source_entity,source_entity_type,target_entity,target_entity_type,action,status,java_exception,entity,entity_type,entity_1,action_1,status_id,is_anomaly,is_anomaly_reason
122,Controlling BG/L rows [ <*> ],Controlling BG/L rows [  ],controlling BG/L rows,none,none,BG/L rows,OBJECT,controlling,none,,BG/L rows,OBJECT,BG/L rows,controlling,122,False,
246,BGLMaster has been started: ./BGLMaster --consoleip <*> --consoleport <*> --configfile <*> --autorestart <*> --db2profile <*> --dbproperties <*>,BGLMaster has been started: ./BGLMaster --consoleip  --consoleport  --configfile  --autorestart  --db2profile  --dbproperties ,BGLMaster started,BGLMaster,SYSTEM MODULE,none,none,started,none,,BGLMaster,SYSTEM MODULE,BGLMaster,started,246,False,
204,BGLMaster has been started: ./BGLMaster --consoleip <*> --consoleport <*> --configfile <*> --autorestart <*>,BGLMaster has been started: ./BGLMaster --consoleip  --consoleport  --configfile  --autorestart ,BGLMaster started,BGLMaster,SYSTEM MODULE,none,none,started,none,,BGLMaster,SYSTEM MODULE,BGLMaster,started,204,False,
146,BGLMaster has been started: ./BGLMaster --consoleip <*> --consoleport <*> --configfile <*>,BGLMaster has been started: ./BGLMaster --consoleip  --consoleport  --configfile ,BGLMaster started,BGLMaster,SYSTEM MODULE,none,none,starting,none,,BGLMaster,SYSTEM MODULE,BGLMaster,starting,146,False,
157,job <*> timed out. Block freed.,job  timed out. Block freed.,Job timed out and Block freed,job,SYSTEM MODULE,Block,OBJECT,timed out,freed,,Block,OBJECT,Block,timed out,157,True,"The log message indicates a job timing out, which is not a normal execution process."
210,Missing reverse cable: Cable <*> is present BUT the reverse cable <*> is missing,Missing reverse cable: Cable  is present BUT the reverse cable  is missing,Missing reverse cable,Cable,OBJECT,none,none,missing,none,,Cable,OBJECT,Cable,missing,210,True,"The log message indicates a missing reverse cable, which is a deviation from the normal execution process."
298,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer","ciod: Error reading message prefix on CioStream socket to , Connection reset by peer",Error reading message prefix on CioStream socket,none,none,CioStream socket,OBJECT,reading message prefix,error,,CioStream socket,OBJECT,CioStream socket,reading message prefix,298,True,"The error message indicates a connection reset by the peer, which is not a normal behavior for the execution process."
202,DeclareServiceNetworkCharacteristics has been run with the force option but the DB is not empty,DeclareServiceNetworkCharacteristics has been run with the force option but the DB is not empty,DeclareServiceNetworkCharacteristics run with force option on non-empty DB,DeclareServiceNetworkCharacteristics,SYSTEM MODULE,DB,OBJECT,run,error,,DB,OBJECT,DB,run,202,True,"The log message indicates that a service has been run with the force option, which is not a typical or normal behavior when the database is not empty. This could potentially lead to unexpected outcomes or data loss."
203,Added <*> subnets and <*> addresses to DB,Added  subnets and  addresses to DB,Adding subnets and addresses to DB,none,none,DB,OBJECT,adding,successful,,DB,OBJECT,DB,adding,203,False,
201,DeclareServiceNetworkCharacteristics has been run but the DB is not empty,DeclareServiceNetworkCharacteristics has been run but the DB is not empty,DeclareServiceNetworkCharacteristics ran with non-empty DB,DeclareServiceNetworkCharacteristics,SYSTEM MODULE,DB,OBJECT,run,not empty,,DB,OBJECT,DB,run,201,True,"The log message indicates that a service has been run, but the database is not empty, which could be a sign of an abnormal execution process."
