,event_id,log_template,processed_template,summary,source_entity,source_entity_type,target_entity,target_entity_type,action,status,java_exception,entity,entity_type,entity_1,action_1,status_id,is_anomaly,is_anomaly_reason
0,122,<*> <*> -TERM succeeded,  -TERM succeeded,Succeeded -TERM,none,none,-TERM,OBJECT,succeeded,none,,-TERM,OBJECT,-term,Succeeded,89,True,"The log message indicates a user session being opened, which is a normal execution process."
1,1170,/sbin/mingetty[<*>]: tty<*>: can't exec /bin/login: Input/output error,/sbin/mingetty[]: tty: can't exec /bin/login: Input/output error,mingetty exec login with io error,/sbin/mingetty,SYSTEM MODULE,/bin/login,SYSTEM MODULE,exec,Input/output error,,/bin/login,SYSTEM MODULE,/bin/login,Exec,1078,False,"This log message indicates a trap received by the snmpd service, which is a normal process in SNMP communication."
2,1013,i<*>c /dev entries driver,ic /dev entries driver,ic driver for /dev entries,ic,SYSTEM MODULE,/dev entries,OBJECT,driver,none,,/dev entries,OBJECT,/devEntries,Driver,668,True,"The log message indicates that the data_thread() did not receive any answer from any data source, which is abnormal behavior."
3,855,ioctl<*>(fdisk:<*>): Unknown cmd fd(<*>) cmd(<*>){<*>} arg(ffffda<*>) on /dev/sda,ioctl(fdisk:): Unknown cmd fd() cmd(){} arg(ffffda) on /dev/sda,fdisk Unknown cmd on /dev/sda,fdisk,SYSTEM MODULE,/dev/sda,OBJECT,Unknown cmd,none,,/dev/sda,OBJECT,/dev/sda,UnknownCmd,456,False,This log message indicates a normal execution process of closing a session for a user.
4,85,fsck: [/sbin/fsck.ext<*> (<*>) -- <*> fsck.ext<*> -a /dev/sda<*>,fsck: [/sbin/fsck.ext () --  fsck.ext -a /dev/sda,fsck checking /dev/sda,fsck,SYSTEM MODULE,/dev/sda,OBJECT,checking,none,,/dev/sda,OBJECT,/dev/sda,Checking,249,False,The log message appears to be a standard SSH login attempt
5,347,fsck: fsck.ext<*> -a /dev/sda<*>,fsck: fsck.ext -a /dev/sda,fsck checking /dev/sda,fsck.ext,SYSTEM MODULE,/dev/sda,OBJECT,checking,none,,/dev/sda,OBJECT,/dev/sda,Changed,503,True,The log message indicates a fatal error which is likely abnormal in the execution process.
6,433,NET: /sbin/dhclient-script : updated /etc/resolv.conf,NET: /sbin/dhclient-script : updated /etc/resolv.conf,/sbin/dhclient-script updating /etc/resolv.conf,/sbin/dhclient-script,SYSTEM MODULE,/etc/resolv.conf,OBJECT,updated,none,,/etc/resolv.conf,OBJECT,/etc/resolv.conf,Discoveredandassigned,936,True,"The log message indicates a failure in mad_process for an InfiniHost port, which suggests an abnormal execution process."
7,1093,acceptor-<*>[<*>]: error creating /var/run/acceptor-<*>.pid: No space left on device,acceptor-[]: error creating /var/run/acceptor-.pid: No space left on device,Error creating pid file,acceptor-[],SYSTEM MODULE,/var/run/acceptor-.pid,OBJECT,error creating,No space left on device,,/var/run/acceptor-.pid,OBJECT,/var/run/acceptor-.pid,ErrorCreating,928,False,"This log message represents a scheduled task being executed by the crond service, which is a normal process."
8,808,ACPI: Local APIC address <*>,ACPI: Local APIC address ,ACPI Local APIC address,ACPI,SYSTEM MODULE,Local APIC address,OBJECT,address,none,,ACPI,SYSTEM MODULE,Acpi,Address,352,True,"The log message indicates a temperature sensor value, which may be outside of the normal range indicating a potential issue with the sensor or the server's temperature."
9,681,ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,ACPI: PCI Interrupt Link  (IRQs        ) *,ACPI PCI Interrupt Link IRQs,ACPI,SYSTEM MODULE,PCI Interrupt Link,OBJECT,IRQs,none,,ACPI,SYSTEM MODULE,Acpi,Start,353,False,"The log message indicates that the temperature sensor has returned to a normal value, so the execution process is considered normal."
10,814,ACPI: Subsystem revision <*>,ACPI: Subsystem revision ,ACPI subsystem revision,ACPI,SYSTEM MODULE,Subsystem,OBJECT,revision,none,,ACPI,SYSTEM MODULE,Acpi,Installation,361,True,"The log message indicates a kernel execution process, which may be abnormal depending on the context and specific details provided in the log."
11,605,"ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","ACPI: PCI Interrupt Link  (IRQs        ) *, disabled.",ACPI disabling PCI Interrupt Link,ACPI,SYSTEM MODULE,PCI Interrupt Link,OBJECT,disabled,none,,ACPI,SYSTEM MODULE,Acpi,Ensuring,355,True,The log message indicates a failure in executing a certain action.
